type,code,name,ISIN,start,market,group,CFI
上櫃認購(售)權證,729703,德微永豐18購02,TW22Z7297031,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729704,點序永豐1A購01,TW22Z7297049,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729705,台半統一19購01,TW22Z7297056,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729706,杰力統一1A購01,TW22Z7297064,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729707,長聖統一1B購01,TW22Z7297072,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729708,美琪瑪統一1A購01,TW22Z7297080,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729709,神準統一1A購02,TW22Z7297098,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729710,晶焱統一19購03,TW22Z7297106,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729711,華景電統一19購01,TW22Z7297114,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729712,順藥統一18購02,TW22Z7297122,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729713,廣運統一1C購01,TW22Z7297130,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729714,德微統一18購01,TW22Z7297148,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729715,穩懋統一1A購01,TW22Z7297155,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729716,九暘元大18購02,TW22Z7297163,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729717,凡甲元大1A購01,TW22Z7297171,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729718,大國鋼元大18購01,TW22Z7297189,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729719,兆利元大18購01,TW22Z7297197,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729720,安國元大1C購01,TW22Z7297205,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729721,旺矽元大18購02,TW22Z7297213,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729722,茂達元大18購03,TW22Z7297221,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729723,家登元大18購06,TW22Z7297239,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729724,神準元大18購01,TW22Z7297247,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729725,網家元大18購03,TW22Z7297254,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729726,聚積元大18購03,TW22Z7297262,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729727,德微元大18購01,TW22Z7297270,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729728,德微元大1A購01,TW22Z7297288,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729729,德微元大1C購02,TW22Z7297296,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729730,撼訊元大1C購02,TW22Z7297304,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729731,璟德元大18購01,TW22Z7297312,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729732,神準元富19購01,TW22Z7297320,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729733,晶宏元富18購01,TW22Z7297338,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729734,晶宏元富1B購01,TW22Z7297346,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729735,德微元富19購01,TW22Z7297353,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729736,凡甲凱基1A購01,TW22Z7297361,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729737,大中凱基18購01,TW22Z7297379,2022/02/16,上櫃,,RWSCCA
